DECISION_DATE,CASE_STATUS,CLASS_OF_ADMISSION
30-Sep-08,DENIED,H-1B
30-Sep-08,DENIED,H-1B
29-Sep-08,DENIED,H-1B
29-Sep-08,DENIED,H-1B
26-Sep-08,CERTIFIED,H-1B
22-Sep-08,DENIED,H-1B
22-Sep-08,DENIED,H-1B
19-Sep-08,DENIED,H-1B
15-Sep-08,DENIED,H-1B
12-Sep-08,DENIED,H-1B
4-Sep-08,DENIED,H-1B
4-Sep-08,DENIED,H-1B
2-Sep-08,DENIED,H-1B
29-Aug-08,DENIED,H-1B
27-Aug-08,DENIED,H-1B
18-Aug-08,DENIED,H-1B
12-Aug-08,WITHDRAWN,H-1B
7-Aug-08,DENIED,H-1B
7-Aug-08,DENIED,H-1B
6-Aug-08,DENIED,H-1B
29-Jul-08,DENIED,H-1B
17-Jul-08,CERTIFIED,H-1B
16-Jul-08,CERTIFIED,H-1B
2-Jul-08,DENIED,H-1B
1-Jul-08,CERTIFIED,H-1B
9-Jun-08,WITHDRAWN,H-1B
9-Jun-08,WITHDRAWN,H-1B
9-Jun-08,CERTIFIED,H-1B
4-Jun-08,CERTIFIED,H-1B
3-Jun-08,DENIED,H-1B
3-Jun-08,DENIED,H-1B
28-May-08,CERTIFIED,H-1B
28-May-08,DENIED,H-1B
23-May-08,DENIED,H-1B
21-May-08,DENIED,H-1B
21-May-08,CERTIFIED,H-1B
19-May-08,DENIED,H-1B
16-May-08,DENIED,H-1B
5-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
30-Apr-08,CERTIFIED,H-1B
29-Apr-08,DENIED,H-1B
24-Apr-08,DENIED,H-1B
23-Apr-08,CERTIFIED,H-1B
31-Mar-08,DENIED,H-1B
27-Mar-08,DENIED,H-1B
25-Mar-08,DENIED,H-1B
19-Mar-08,DENIED,H-1B
19-Mar-08,DENIED,H-1B
7-Mar-08,DENIED,H-1B
6-Mar-08,DENIED,H-1B
29-Feb-08,CERTIFIED-EXPIRED,H-1B
29-Feb-08,CERTIFIED-EXPIRED,H-1B
21-Feb-08,DENIED,H-1B
21-Feb-08,DENIED,H-1B
20-Feb-08,DENIED,H-1B
20-Feb-08,DENIED,H-1B
31-Jan-08,DENIED,H-1B
28-Jan-08,DENIED,H-1B
28-Jan-08,DENIED,H-1B
16-Jan-08,DENIED,H-1B
8-Jan-08,CERTIFIED-EXPIRED,H-1B
8-Jan-08,DENIED,H-1B
3-Jan-08,CERTIFIED-EXPIRED,H-1B
3-Jan-08,DENIED,H-1B
3-Jan-08,DENIED,H-1B
21-Dec-07,WITHDRAWN,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
4-Dec-07,DENIED,H-1B
3-Dec-07,CERTIFIED-EXPIRED,H-1B
30-Nov-07,CERTIFIED-EXPIRED,H-1B
28-Nov-07,CERTIFIED-EXPIRED,H-1B
9-Nov-07,CERTIFIED-EXPIRED,H-1B
8-Nov-07,CERTIFIED-EXPIRED,H-1B
8-Nov-07,DENIED,H-1B
31-Oct-07,DENIED,H-1B
29-Oct-07,CERTIFIED-EXPIRED,H-1B
24-Oct-07,DENIED,H-1B
19-Oct-07,CERTIFIED-EXPIRED,H-1B
17-Oct-07,DENIED,H-1B
17-Oct-07,DENIED,H-1B
10-Oct-07,DENIED,H-1B
13-Dec-07,CERTIFIED-EXPIRED,H-1B
24-Sep-08,CERTIFIED,H-1B
