DECISION_DATE,CASE_STATUS,CLASS OF ADMISSION
23-Feb-09,Denied,H-1B
10-Apr-09,Certified,H-1B
14-Sep-09,Certified,H-1B
14-Mar-09,Certified-Expired,H-1B
12-Jan-09,Withdrawn,H-1B
8-Apr-09,Certified,H-1B
20-Apr-09,Certified,H-1B
13-Apr-09,Denied,H-1B
13-Apr-09,Denied,H-1B
30-Apr-09,Denied,H-1B
20-May-09,Withdrawn,H-1B
30-May-09,Denied,H-1B
21-Sep-09,Denied,H-1B
17-Apr-09,Denied,H-1B
19-Aug-09,Denied,H-1B
28-Nov-08,Denied,H-1B
25-Feb-09,Certified-Expired,H-1B
4-Mar-09,Certified-Expired,H-1B
13-May-09,Certified,H-1B
28-Aug-09,Denied,H-1B
27-Apr-09,Certified,H-1B
25-Aug-09,Withdrawn,H-1B
14-Aug-09,Certified,H-1B
11-Feb-09,Certified-Expired,H-1B
30-Apr-09,Withdrawn,H-1B
24-Apr-09,Denied,H-1B
14-Jan-09,Certified-Expired,H-1B
6-May-09,Certified,H-1B
20-Apr-09,Certified,H-1B
3-Sep-09,Denied,H-1B
27-Apr-09,Certified,H-1B
2-Oct-08,Certified-Expired,H-1B
8-Apr-09,Certified,H-1B
26-Jan-09,Certified-Expired,H-1B
9-Apr-09,Certified,H-1B
5-Jun-09,Withdrawn,H-1B
6-Oct-08,Certified-Expired,H-1B
24-Oct-08,Denied,H-1B
27-Apr-09,Certified,H-1B
21-Apr-09,Certified,H-1B
13-Apr-09,Certified,H-1B
28-Aug-09,Certified,H-1B
25-Feb-09,Certified-Expired,H-1B
21-Apr-09,Certified,H-1B
1-Oct-08,Certified-Expired,H-1B
21-Jan-09,Certified-Expired,H-1B
11-Mar-09,Certified-Expired,H-1B
10-Apr-09,Certified,H-1B
8-Apr-09,Certified,H-1B
1-May-09,Certified,H-1B
27-Apr-09,Certified,H-1B
8-May-09,Certified,H-1B
19-Feb-09,Certified-Expired,H-1B
6-Apr-09,Certified,H-1B
7-May-09,Certified,H-1B
5-Mar-09,Certified-Expired,H-1B
25-Mar-09,Certified-Expired,H-1B
17-Apr-09,Certified,H-1B
5-May-09,Certified,H-1B
27-Mar-09,Certified-Expired,H-1B
16-Apr-09,Certified,H-1B
15-Apr-09,Certified,H-1B
