country,f1,h1b,Total
Algeria,136,14,"8,774"
Angola,942,8,"9,091"
Benin,130,4,"1,598"
Botswana,58,6,"1,129"
Burkina Faso,551,12,"2,709"
Burundi,227,7,"1,385"
Cameroon,548,66,"7,456"
Cape Verde,58,0,"2,255"
Central African Republic,10,1,233
Chad,33,1,731
Comoros,0,0,147
"Congo, Rep. of the (Brazzaville)",163,1,"1,487"
"Congo, Dem. Rep. of the (Kinshasa)",548,10,"5,174"
Cote d'Ivoire,441,25,"4,614"
Djibouti,4,0,374
Egypt,"1,188",228,"49,489"
Equatorial Guinea,330,1,"1,470"
Eritrea,107,2,"1,602"
Ethiopia,986,30,"13,856"
Gabon,107,6,"1,490"
"Gambia, The",131,4,"1,259"
Ghana,944,143,"14,130"
Guinea,39,3,"1,814"
Guinea-Bissau,2,0,157
Kenya,"1,154",178,"16,740"
Lesotho,10,3,267
Liberia,116,2,"3,521"
Libya,905,16,"4,593"
Madagascar,60,17,"1,446"
Malawi,82,5,"1,335"
Mali,220,8,"2,519"
Mauritania,66,3,"1,339"
Mauritius,53,25,"2,844"
Morocco,569,69,"16,177"
Mozambique,60,3,"1,902"
Namibia,26,6,"1,305"
Niger,94,3,"1,258"
Nigeria,"4,132",456,"113,503"
Rwanda,476,10,"2,108"
Sao Tome and Principe,2,0,72
Senegal,345,52,"4,876"
Seychelles,3,0,204
Sierra Leone,62,4,"1,785"
Somalia,25,0,210
South Africa,789,312,"59,038"
South Sudan,24,2,508
Sudan,166,15,"3,328"
Swaziland,39,4,480
Tanzania,409,49,"5,866"
Togo,71,6,"1,371"
Tunisia,369,21,"7,220"
Uganda,430,24,"6,226"
Zambia,134,20,"2,911"
Zimbabwe,455,77,"6,131"
Afghanistan,241,9,"3,078"
Bahrain,189,5,"4,593"
Bangladesh,"2,320",189,"28,080"
Bhutan,65,5,564
Brunei,27,2,438
Burma,692,35,"8,438"
Cambodia,387,17,"4,683"
China - mainland,"217,593","12,632","1,467,563"
China - Taiwan,"9,921","1,560","31,696"
Hong Kong S.A.R.,"2,947",268,"47,941"
India,"36,141","99,705","684,176"
Indonesia,"2,574",509,"69,740"
Iran,"3,021",160,"26,091"
Iraq,419,7,"14,529"
Israel,"1,072",661,"129,369"
Japan,"18,837","1,698","76,473"
