State,Employer_Name,Occupation
ALABAMA,TOPRE AMERICA CORPORATION,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THERMASYS CORPORATION,Advanced Mfg
ALABAMA,VULCAN INC,Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"ST AEROSPACE MOBILE, INC",Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"BIOHORIZONS IMPLANT SYSTEMS, INC.",Advanced Mfg
ALABAMA,LEE PRECISION MACHINE SHOP INC,Advanced Mfg
ALABAMA,"ADTRAN, INC",Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,ALPHAPET INC,Advanced Mfg
ALABAMA,"C&J TECH ALABAMA, INC",Advanced Mfg
ALABAMA,METAL RESEARCH INC.,Advanced Mfg
ALABAMA,CUMBERLAND PLASTIC SOLUTIONS,Advanced Mfg
ALABAMA,"ADTRAN, INC",Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,HYUNDAI POWER TRANSFORMERS USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,"DAESIN ROBOT, LLC",Advanced Mfg
ALABAMA,TOSYALI INTERNATIONAL INC,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"ST AEROSPACE MOBILE, INC",Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,SUNGWON ALABAMA CORP.,Advanced Mfg
ALABAMA,"HYCO SYSTEMS, INC.",Advanced Mfg
ALABAMA,HYUNDAI POWER TRANSFORMERS USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"OUTOKUMPU STAINLESS USA, LLC",Advanced Mfg
ALABAMA,"KO & AM INDUSTRIAL SERVICES, LLC",Advanced Mfg
ALABAMA,"ADTRAN, INC",Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"HINGETECH USA, INC",Advanced Mfg
ALABAMA,BEN MAR HOSIERY,Advanced Mfg
ALABAMA,"MCWANE,INC.",Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,THYSSENKRUPP STEEL USA,Advanced Mfg
ALABAMA,"C&J TECH ALABAMA, INC",Advanced Mfg
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"SYS-CON,LLC(SYSCO-ALABAMA,LLC)",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"SYS-CON,LLC(SYSCO-ALABAMA,LLC)",Aerospace
ALABAMA,"SYS-CON,LLC(SYSCO-ALABAMA,LLC)",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"SYS-CON,LLC(SYSCO-ALABAMA,LLC)",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
ALABAMA,"ST AEROSPACE MOBILE, INC",Aerospace
